biotype,chromosome_name,ensembl_gene_id,ensembl_transcript_id,function_group,gene_row_index,gene_token_ids,genomic_loc,preferred_ensembl,start_position,symbol,transcript_length
protein_coding,X,ENSG00000000003,ENST00000373020,protein_coding,0,2,46043,ENSG00000000003,100627108,TSPAN6,3768
protein_coding,X,ENSG00000000005,ENST00000373031,rare_protein_coding,1,3,46042,ENSG00000000005,100584936,TNMD,1205
protein_coding,20,ENSG00000000419,ENST00000371588,Housekeeping,2,4,24061,ENSG00000000419,50934867,DPM1,1054
protein_coding,1,ENSG00000000457,ENST00000367771,protein_coding,3,5,2678,ENSG00000000457,169849631,SCYL3,6308
protein_coding,1,ENSG00000000460,ENST00000359326,protein_coding,4,6,2673,,169662007,C1orf112,4011
protein_coding,1,ENSG00000000938,ENST00000374005,protein_coding,5,7,568,ENSG00000000938,27612064,FGR,2637
protein_coding,1,ENSG00000000971,ENST00000367429,protein_coding,6,8,3006,ENSG00000000971,196651754,CFH,3962
protein_coding,6,ENSG00000001036,ENST00000002165,protein_coding,7,9,34476,ENSG00000001036,143494812,FUCA2,2385
protein_coding,6,ENSG00000001084,ENST00000650454,protein_coding,8,10,33528,ENSG00000001084,53497341,GCLC,3785
protein_coding,6,ENSG00000001167,ENST00000341376,Transcription Factor,9,11,33312,ENSG00000001167,41072974,NFYA,6209
protein_coding,1,ENSG00000001460,ENST00000337248,protein_coding,10,12,487,ENSG00000001460,24356999,STPG1,2726
protein_coding,1,ENSG00000001461,ENST00000374399,protein_coding,11,13,488,ENSG00000001461,24415802,NIPAL3,5372
protein_coding,X,ENSG00000001497,ENST00000374811,protein_coding,12,14,45697,ENSG00000001497,65438549,LAS1L,2470
protein_coding,6,ENSG00000001561,ENST00000321037,protein_coding,13,15,33420,ENSG00000001561,46129989,ENPP4,4644
protein_coding,3,ENSG00000001617,ENST00000002829,protein_coding,14,16,26378,ENSG00000001617,50155045,SEMA3F,3607
protein_coding,7,ENSG00000001626,ENST00000003084,rare_protein_coding,15,17,36345,ENSG00000001626,117287120,CFTR,6070
protein_coding,7,ENSG00000001629,ENST00000265742,protein_coding,16,18,35987,ENSG00000001629,92245974,ANKIB1,6340
protein_coding,7,ENSG00000001631,ENST00000394505,protein_coding,17,20,35986,ENSG00000001631,92197498,KRIT1,4079
protein_coding,12,ENSG00000002016,ENST00000358495,protein_coding,18,21,8037,ENSG00000002016,911736,RAD52,3023
protein_coding,11,ENSG00000002330,ENST00000309032,Housekeeping,19,22,6850,ENSG00000002330,64269830,BAD,929
protein_coding,4,ENSG00000002549,ENST00000226299,protein_coding,20,23,28444,ENSG00000002549,17577198,LAP3,2209
protein_coding,X,ENSG00000002586,ENST00000381192,Housekeeping,21,24,44974,ENSG00000002586,2691187,CD99,1129
protein_coding,4,ENSG00000002587,ENST00000002596,rare_protein_coding,22,25,28376,ENSG00000002587,11393150,HS3ST1,7160
protein_coding,7,ENSG00000002726,ENST00000360937,rare_protein_coding,23,26,36839,ENSG00000002726,150824627,AOC1,2609
protein_coding,7,ENSG00000002745,ENST00000222462,rare_protein_coding,24,27,36376,ENSG00000002745,121325367,WNT16,3150
protein_coding,7,ENSG00000002746,ENST00000395891,rare_protein_coding,25,28,35393,ENSG00000002746,43112629,HECW1,9453
protein_coding,7,ENSG00000002822,ENST00000265854,protein_coding,26,29,34880,ENSG00000002822,1815793,MAD1L1,2695
protein_coding,17,ENSG00000002834,ENST00000318008,Housekeeping,27,30,16501,ENSG00000002834,38869859,LASP1,3910
protein_coding,17,ENSG00000002919,ENST00000359238,protein_coding,28,31,16782,ENSG00000002919,48103357,SNX11,2992
protein_coding,7,ENSG00000002933,ENST00000004103,protein_coding,29,32,36838,ENSG00000002933,150800403,TMEM176A,1033
protein_coding,12,ENSG00000003056,ENST00000000412,Housekeeping,30,33,8234,ENSG00000003056,8940361,M6PR,2450
protein_coding,X,ENSG00000003096,ENST00000540167,Transcription Factor,31,34,46278,ENSG00000003096,117897813,KLHL13,3342
protein_coding,2,ENSG00000003137,ENST00000001146,rare_protein_coding,32,35,21049,ENSG00000003137,72129238,CYP26B1,4556
protein_coding,7,ENSG00000003147,ENST00000402384,protein_coding,33,36,34986,ENSG00000003147,8113184,ICA1,2344
protein_coding,16,ENSG00000003249,ENST00000002501,protein_coding,34,37,15684,ENSG00000003249,90004871,DBNDD1,2056
protein_coding,2,ENSG00000003393,ENST00000264276,protein_coding,35,38,22642,ENSG00000003393,201700267,ALS2,6675
protein_coding,2,ENSG00000003400,ENST00000286186,protein_coding,36,39,22629,ENSG00000003400,201182872,CASP10,5668
protein_coding,2,ENSG00000003402,ENST00000309955,protein_coding,37,40,22626,ENSG00000003402,201116154,CFLAR,14612
protein_coding,2,ENSG00000003436,ENST00000233156,protein_coding,38,41,22473,ENSG00000003436,187464230,TFPI,3859
protein_coding,2,ENSG00000003509,ENST00000002125,protein_coding,39,42,20585,ENSG00000003509,37231631,NDUFAF7,2184
protein_coding,3,ENSG00000003756,ENST00000347869,Transcription Factor,40,43,26375,ENSG00000003756,50088919,RBM5,3177
protein_coding,8,ENSG00000003987,ENST00000180173,rare_protein_coding,41,44,37218,ENSG00000003987,17296794,MTMR7,5110
protein_coding,8,ENSG00000003989,ENST00000494857,protein_coding,42,45,37220,ENSG00000003989,17497088,SLC7A2,7615
protein_coding,7,ENSG00000004059,ENST00000000233,Housekeeping,43,46,36440,ENSG00000004059,127588386,ARF5,1032
protein_coding,17,ENSG00000004139,ENST00000585482,protein_coding,44,47,16250,ENSG00000004139,28364356,SARM1,10277
protein_coding,17,ENSG00000004142,ENST00000540200,protein_coding,45,48,16249,ENSG00000004142,28346633,POLDIP2,2670
protein_coding,3,ENSG00000004399,ENST00000324093,Transcription Factor,46,49,27228,ENSG00000004399,129555214,PLXND1,6913
protein_coding,1,ENSG00000004455,ENST00000672715,Housekeeping,47,50,684,ENSG00000004455,33007986,AK2,5970
protein_coding,4,ENSG00000004468,ENST00000226279,protein_coding,48,51,28421,ENSG00000004468,15778275,CD38,5620
protein_coding,12,ENSG00000004478,ENST00000001008,protein_coding,49,52,8067,ENSG00000004478,2794970,FKBP4,3715
protein_coding,1,ENSG00000004487,ENST00000400181,Transcription Factor,50,53,452,ENSG00000004487,23019443,KDM1A,3085
protein_coding,3,ENSG00000004534,ENST00000266022,Transcription Factor,51,54,26374,ENSG00000004534,49940007,RBM6,3630
protein_coding,17,ENSG00000004660,ENST00000348335,protein_coding,52,55,15788,ENSG00000004660,3860315,CAMKK1,3572
protein_coding,12,ENSG00000004700,ENST00000444129,protein_coding,53,56,8447,ENSG00000004700,21468910,RECQL,3745
protein_coding,7,ENSG00000004766,ENST00000305866,protein_coding,54,57,36004,ENSG00000004766,93232340,VPS50,5684
protein_coding,19,ENSG00000004776,ENST00000004982,protein_coding,55,58,19351,ENSG00000004776,35754566,HSPB6,1460
protein_coding,19,ENSG00000004777,ENST00000007510,protein_coding,56,59,19352,ENSG00000004777,35774532,ARHGAP33,4352
